,geneamps_ENSG00000133627_ACTR3B,geneamps_ENSG00000011426_ANLN,geneamps_ENSG00000107262_BAG1,geneamps_ENSG00000171791_BCL2,geneamps_ENSG00000089685_BIRC5,geneamps_ENSG00000106605_BLVRA,geneamps_ENSG00000134057_CCNB1,geneamps_ENSG00000105173_CCNE1,geneamps_ENSG00000117399_CDC20,geneamps_ENSG00000094804_CDC6,geneamps_ENSG00000062038_CDH3,geneamps_ENSG00000117724_CENPF,geneamps_ENSG00000138180_CEP55,geneamps_ENSG00000171604_CXXC5,geneamps_ENSG00000146648_EGFR,geneamps_ENSG00000141736_ERBB2,geneamps_ENSG00000091831_ESR1,geneamps_ENSG00000174371_EXO1,geneamps_ENSG00000160867_FGFR4,geneamps_ENSG00000129514_FOXA1,geneamps_ENSG00000054598_FOXC1,geneamps_ENSG00000173890_GPR160,geneamps_ENSG00000141738_GRB7,geneamps_ENSG00000142945_KIF2C,geneamps_ENSG00000186847_KRT14,geneamps_ENSG00000128422_KRT17,geneamps_ENSG00000186081_KRT5,geneamps_ENSG00000186868_MAPT,geneamps_ENSG00000135679_MDM2,geneamps_ENSG00000165304_MELK,geneamps_ENSG00000261857_MIA,geneamps_ENSG00000148773_MKI67,geneamps_ENSG00000115648_MLPH,geneamps_ENSG00000099953_MMP11,geneamps_ENSG00000101057_MYBL2,geneamps_ENSG00000136997_MYC,geneamps_ENSG00000171428_NAT1,geneamps_ENSG00000080986_NDC80,geneamps_ENSG00000143228_NUF2,geneamps_ENSG00000091651_ORC6,geneamps_ENSG00000082175_PGR,geneamps_ENSG00000092621_PHGDH,geneamps_ENSG00000164611_PTTG1,geneamps_ENSG00000171848_RRM2,geneamps_ENSG00000104332_SFRP1,geneamps_ENSG00000141424_SLC39A6,geneamps_ENSG00000151715_TMEM45B,geneamps_ENSG00000176890_TYMS,geneamps_ENSG00000175063_UBE2C,geneamps_ENSG00000077152_UBE2T
HMF003042A,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,6.0,4.0,4.0,2.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,6.0
HMF002161A,3.0,3.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,6.0,2.0,3.0,5.0,6.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,5.0,3.0
HMF000057A,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,6.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,6.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0
HMF002714A,2.0,4.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0
HMF003560A,4.0,3.0,2.0,4.0,2.0,3.0,3.0,6.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,8.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,7.0,3.0,5.0,4.0,3.0,6.0,2.0,2.0,6.0,3.0,4.0,6.0,4.0,7.0,2.0,4.0,2.0,2.0,7.0,5.0
HMF003013A,4.0,3.0,3.0,3.0,2.0,3.0,3.0,62.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,12.0,6.0,4.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,6.0,4.0,4.0
HMF002078A,5.0,4.0,2.0,6.0,2.0,4.0,3.0,3.0,6.0,4.0,1.0,4.0,3.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,6.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,7.0,4.0,2.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0
HMF000511A,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0
HMF001863A,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,8.0,4.0,2.0,4.0,4.0,6.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,5.0,4.0
HMF000422A,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0
HMF002404A,5.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,6.0,4.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,6.0,2.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0
HMF003031A,5.0,6.0,3.0,4.0,3.0,6.0,3.0,7.0,4.0,2.0,4.0,4.0,4.0,3.0,6.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,6.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,6.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,6.0,5.0,4.0
HMF001617A,3.0,2.0,4.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0
HMF003292A,3.0,3.0,3.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,8.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,9.0,3.0,1.0,4.0,2.0,3.0
HMF002670A,6.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,6.0,4.0,4.0,4.0,3.0,3.0,6.0,4.0,4.0,8.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,8.0,3.0,5.0,6.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
HMF000449A,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,6.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,6.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,8.0,6.0,6.0,2.0,4.0,5.0,4.0,4.0,6.0,4.0,6.0,2.0,4.0,4.0,8.0,4.0
HMF002251A,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
HMF003403A,3.0,5.0,4.0,3.0,5.0,6.0,2.0,10.0,7.0,2.0,4.0,4.0,3.0,3.0,6.0,2.0,3.0,4.0,5.0,4.0,6.0,8.0,2.0,7.0,2.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,8.0,5.0,11.0,2.0,4.0,5.0,4.0,2.0,6.0,5.0,3.0,9.0,3.0,2.0,5.0,4.0,4.0
HMF001102A,2.0,3.0,5.0,1.0,4.0,3.0,3.0,9.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,6.0,6.0,5.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,8.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0
HMF002413A,6.0,4.0,6.0,6.0,7.0,3.0,4.0,6.0,8.0,4.0,3.0,8.0,3.0,6.0,3.0,4.0,5.0,8.0,6.0,4.0,7.0,14.0,4.0,8.0,4.0,4.0,7.0,4.0,7.0,6.0,7.0,3.0,5.0,3.0,7.0,20.0,4.0,5.0,5.0,6.0,2.0,7.0,6.0,6.0,4.0,3.0,3.0,5.0,7.0,9.0
HMF001462A,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HMF001437A,5.0,3.0,4.0,3.0,2.0,3.0,2.0,8.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,13.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,8.0,4.0,3.0,3.0,3.0,4.0,4.0
HMF003668A,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
HMF001630A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
HMF003412A,3.0,3.0,3.0,2.0,2.0,3.0,2.0,9.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,6.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,8.0
HMF002200A,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,7.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,5.0
HMF001589A,4.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,6.0,4.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,6.0
HMF001093A,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,7.0,2.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0
HMF003084A,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
HMF000508A,5.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,6.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,10.0,1.0,2.0,3.0,2.0,7.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0,3.0
HMF002825A,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0
HMF000280A,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0
HMF001224A,4.0,3.0,3.0,2.0,3.0,3.0,3.0,8.0,3.0,3.0,2.0,6.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,7.0,3.0,5.0,8.0,6.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,8.0,6.0,6.0
HMF000676A,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,4.0
HMF000776A,4.0,4.0,2.0,2.0,3.0,4.0,2.0,10.0,3.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,31.0,2.0,1.0,2.0,4.0,4.0
HMF000123A,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
HMF002717A,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
HMF002316A,4.0,4.0,3.0,3.0,4.0,3.0,2.0,8.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,3.0,5.0,8.0,6.0,5.0,10.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,5.0,8.0,16.0,2.0,5.0,5.0,3.0,3.0,7.0,8.0,5.0,6.0,3.0,2.0,5.0,5.0,5.0
HMF000201A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
HMF003458A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
HMF002691A,3.0,4.0,3.0,3.0,4.0,4.0,3.0,14.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,10.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,5.0
HMF003018A,4.0,3.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0
HMF000070A,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,8.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
HMF000980A,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,9.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0
HMF002016A,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
HMF001196A,5.0,6.0,2.0,2.0,3.0,6.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0
HMF004231A,5.0,3.0,2.0,2.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,7.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,6.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0
HMF002544A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0
HMF002586A,3.0,3.0,3.0,2.0,2.0,3.0,2.0,13.0,6.0,6.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,3.0,2.0,2.0,2.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,4.0
HMF000125A,4.0,2.0,2.0,2.0,3.0,2.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,1.0,3.0,4.0,2.0,1.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,6.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,6.0
HMF001906A,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,4.0,3.0,2.0,6.0,3.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,6.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0
HMF002902A,3.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,6.0,1.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0
HMF002838A,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
HMF003335A,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0
HMF002905A,4.0,4.0,2.0,3.0,3.0,4.0,2.0,14.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,6.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,2.0
HMF003430A,4.0,2.0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,8.0,2.0,4.0,5.0,2.0,6.0,2.0,2.0,6.0,4.0,4.0,2.0,4.0,2.0,5.0
HMF003496A,3.0,4.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,6.0,8.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0
HMF002439A,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
HMF000684A,2.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,9.0,3.0,2.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0,4.0,3.0,2.0,6.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,6.0,3.0
HMF003329A,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0
AOCS-143-1,5.0,3.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,6.0,3.0,2.0,2.0,4.0,6.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0,3.0,3.0,4.0,3.0,5.0,4.0,6.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0
AOCS-084-1,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,6.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,7.0,2.0,2.0,4.0,2.0,4.0,4.0,9.0,3.0,3.0,2.0,3.0,13.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
