Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,only_peaks,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.65,0.3076923076923076,0.31622776601683794,0.65,LR,True,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.675,0.3076923076923076,0.31622776601683794,0.65,kNN,True,1,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.4,0.5,0.4444444444444445,0.45,-0.09756097560975618,-0.1,0.45,RF,True,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.3333333333333333,0.25,0.28571428571428575,0.35000000000000003,-0.15384615384615397,-0.15811388300841897,0.425,NB,True,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5555555555555556,0.5,0.75,0.6,0.65,0.1428571428571429,0.15811388300841897,0.575,LR,True,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.4,-0.04651162790697683,-0.05976143046671968,0.475,kNN,True,2,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.84375,0.5,0.5,0.75,RF,True,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,1.0,0.5,0.6666666666666666,0.75,0.5,0.5773502691896258,0.75,NB,True,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,1.0,0.25,0.4,0.8125,0.25,0.3779644730092272,0.625,LR,True,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.75,0.75,0.75,0.78125,0.5,0.5,0.75,kNN,True,3,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.5,0.25,0.3333333333333333,0.71875,0.0,0.0,0.5,RF,True,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,1.0,0.25,0.4,0.625,0.25,0.3779644730092272,0.625,NB,True,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.375,0.0,0.0,0.0,0.5,-0.25,-0.3779644730092272,0.375,LR,True,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.5,0.25,0.3333333333333333,0.6875,0.0,0.0,0.5,kNN,True,4,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7,-0.06666666666666665,-0.06666666666666667,0.4666666666666667,RF,True,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5,0.4,0.6666666666666666,0.5,0.6666666666666666,0.05882352941176472,0.06666666666666667,0.5333333333333333,NB,True,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.75,0.6,1.0,0.7499999999999999,1.0,0.5294117647058824,0.6,0.8,LR,True,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.625,0.5,1.0,0.6666666666666666,0.6,0.33333333333333337,0.4472135954999579,0.7,kNN,True,5,lung,RES vs NONRES,RES,cnv,dip,supervised
0.5555555555555556,0.5,0.5,0.5,0.7,0.10000000000000009,0.1,0.55,RF,True,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.6666666666666666,0.6666666666666666,0.5,0.5714285714285715,0.9,0.3076923076923076,0.31622776601683794,0.65,NB,True,6,lung,RES vs NONRES,RES,cnv,dip,supervised
0.7777777777777778,0.75,0.75,0.75,0.8,0.55,0.55,0.775,LR,True,6,lung,RES vs NONRES,RES,cnv,dip,supervised
