Accuracy,Precision,Recall,F1,AUROC,Kappa,MCC,Balanced accuracy,algorithm,fracs_counts,fold,cancer_type,classes,pos_class,variant_group,variant_type,breakpoint_type
0.2222222222222222,0.2,0.25,0.22222222222222224,0.22499999999999998,-0.5365853658536586,-0.55,0.225,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",1,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.25,0.3333333333333333,0.55,0.052631578947368474,0.05976143046671968,0.525,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.6,0.10000000000000009,0.1,0.55,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.5,0.5,0.5,0.10000000000000009,0.1,0.55,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,1.0,0.6666666666666666,0.6000000000000001,0.18181818181818188,0.31622776601683794,0.6,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",2,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.375,-0.25,-0.2581988897471611,0.375,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.4375,-0.25,-0.2581988897471611,0.375,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,1.0,0.25,0.4,0.6875,0.25,0.3779644730092272,0.625,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.40625,-0.25,-0.2581988897471611,0.375,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",3,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.6666666666666666,0.5,0.5714285714285715,0.5625,0.25,0.2581988897471611,0.625,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.0,0.0,0.0,0.25,-0.25,-0.3779644730092272,0.375,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.3333333333333333,0.25,0.28571428571428575,0.5625,-0.25,-0.2581988897471611,0.375,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",4,lung,RES vs NONRES,RES,cnv,del,quantile
0.25,0.0,0.0,0.0,0.1333333333333333,-0.6000000000000001,-0.6,0.2,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.39999999999999997,-0.25,-0.2581988897471611,0.3666666666666667,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.625,0.5,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.25,0.2581988897471611,0.6333333333333333,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.375,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,-0.25,-0.2581988897471611,0.3666666666666667,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",5,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.25,0.25,0.25,0.29999999999999993,-0.34999999999999987,-0.35,0.325,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.3333333333333333,0.3333333333333333,0.5,0.4,0.19999999999999998,-0.2857142857142856,-0.31622776601683794,0.35,NB,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.2222222222222222,0.2,0.25,0.22222222222222224,0.3,-0.5365853658536586,-0.55,0.225,LR,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.4444444444444444,0.4,0.5,0.4444444444444445,0.475,-0.09756097560975618,-0.1,0.45,kNN,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",6,lung,RES vs NONRES,RES,cnv,del,quantile
0.5555555555555556,0.5,0.25,0.3333333333333333,0.45,0.052631578947368474,0.05976143046671968,0.525,RF,"{'include_counts': False, 'include_fracs': True, 'include_total': True}",7,lung,RES vs NONRES,RES,cnv,del,quantile
